ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.0325,0.0,0.1275,0.1625,0.6775
2,0.87,0.0,0.005,0.0725,0.0525
3,0.55,0.0,0.005,0.1,0.345
4,0.18,0.0075,0.055,0.2025,0.555
5,0.51,0.0,0.0075,0.4425,0.04
6,0.1875,0.0,0.0275,0.6325,0.1525
7,0.24,0.0125,0.2725,0.245,0.23
8,0.735,0.005,0.0025,0.01,0.2475
9,0.85,0.0,0.0,0.0675,0.0825
10,0.605,0.0025,0.0275,0.36,0.005
11,0.8375,0.0,0.0075,0.0675,0.0875
12,0.0,0.0,0.175,0.1275,0.6975
13,0.8275,0.0,0.0025,0.075,0.095
14,0.8875,0.0,0.005,0.01,0.0975
15,0.9075,0.0,0.005,0.065,0.0225
16,0.8175,0.0,0.0,0.125,0.0575
17,0.26,0.0,0.09,0.5475,0.1025
18,0.435833333333,0.0,0.0,0.456666666667,0.1075
19,0.1625,0.0025,0.015,0.38,0.44
20,0.0025,0.005,0.3625,0.0075,0.6225
21,0.6375,0.0,0.0,0.185,0.1775
22,0.0,0.0,0.015,0.0,0.985
23,0.740625,0.0,0.0075,0.1725,0.079375
24,0.0,0.0025,0.0725,0.0,0.925
25,0.8125,0.0,0.0375,0.0725,0.0775
26,0.1875,0.01,0.0925,0.015,0.695
27,0.87,0.0,0.0,0.0075,0.1225
28,0.0025,0.055,0.23,0.0375,0.675
29,0.3,0.0,0.1275,0.4325,0.14
30,0.25,0.0,0.005,0.525,0.22
31,0.23,0.0025,0.0375,0.19,0.54
32,0.822041666667,0.0,0.0,0.07,0.107958333333
33,0.1975,0.0075,0.1725,0.0475,0.575
34,0.955,0.0075,0.0025,0.0325,0.0025
35,0.5,0.0,0.0125,0.0,0.4875
36,0.5725,0.0,0.0825,0.1775,0.1675
37,0.1125,0.01,0.1475,0.0125,0.7175
38,0.85,0.0,0.005,0.0475,0.0975
39,0.2625,0.005,0.0525,0.545,0.135
40,0.23,0.0025,0.01,0.145,0.6125
41,0.0725,0.0,0.0375,0.3175,0.5725
42,0.0,0.0075,0.0675,0.0025,0.9225
43,0.37,0.0,0.015,0.09,0.525
44,0.0,0.005,0.0175,0.0,0.9775
45,0.2225,0.005,0.12,0.005,0.6475
46,0.365,0.0025,0.0225,0.0975,0.5125
47,0.23,0.0025,0.0225,0.3075,0.4375
