ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.035,0.0,0.155,0.165,0.645
2,0.8625,0.0,0.005,0.08,0.0525
3,0.5825,0.005,0.0025,0.0825,0.3275
4,0.175,0.005,0.04,0.1975,0.5825
5,0.5425,0.0,0.0025,0.4225,0.0325
6,0.2,0.0,0.0325,0.5925,0.175
7,0.265,0.01,0.25,0.2925,0.1825
8,0.725,0.005,0.0,0.025,0.245
9,0.8425,0.0,0.0025,0.1,0.055
10,0.6175,0.0,0.04,0.325,0.0175
11,0.7775,0.0,0.0125,0.12,0.09
12,0.01,0.0175,0.1725,0.125,0.675
13,0.7775,0.0,0.005,0.1225,0.095
14,0.8925,0.0,0.005,0.0125,0.09
15,0.8975,0.0,0.005,0.0775,0.02
16,0.785,0.0,0.0,0.1825,0.0325
17,0.2625,0.0,0.11,0.53,0.0975
18,0.4525,0.0,0.0025,0.435,0.11
19,0.1575,0.0025,0.0075,0.3825,0.45
20,0.0,0.005,0.33,0.0125,0.6525
21,0.6325,0.0,0.0075,0.185,0.175
22,0.0,0.0,0.025,0.0,0.975
23,0.708,0.0,0.005,0.1825,0.1045
24,0.0,0.0,0.0775,0.0,0.9225
25,0.8025,0.0,0.04,0.105,0.0525
26,0.1825,0.0175,0.0775,0.005,0.7175
27,0.8725,0.0,0.0025,0.0125,0.1125
28,0.0075,0.0525,0.2175,0.0525,0.67
29,0.345,0.0,0.13,0.4025,0.1225
30,0.305,0.0,0.0075,0.445,0.2425
31,0.235,0.0025,0.03,0.2175,0.515
32,0.823611111111,0.0,0.0,0.0825,0.0938888888889
33,0.19,0.015,0.2025,0.035,0.5575
34,0.9625,0.0,0.0025,0.035,0.0
35,0.4725,0.0025,0.0025,0.0025,0.52
36,0.5925,0.0,0.0525,0.195,0.16
37,0.115,0.02,0.125,0.0175,0.7225
38,0.8775,0.0,0.0,0.0575,0.065
39,0.315,0.0025,0.02,0.555,0.1075
40,0.215,0.0,0.0125,0.1325,0.64
41,0.08,0.0075,0.055,0.3025,0.555
42,0.0,0.0,0.05,0.0025,0.9475
43,0.38,0.0025,0.01,0.1275,0.48
44,0.0,0.01,0.0175,0.0,0.9725
45,0.215,0.005,0.0925,0.015,0.6725
46,0.4225,0.0,0.015,0.07,0.4925
47,0.25,0.0075,0.0275,0.265,0.45
48,0.3985,0.0,0.0075,0.4525,0.1415
49,0.2325,0.0,0.095,0.5275,0.145
50,0.0325,0.005,0.0325,0.14,0.79
51,0.2525,0.0525,0.0675,0.01,0.6175
52,0.25,0.0,0.025,0.565,0.16
53,0.995,0.0,0.0,0.0025,0.0025
54,0.185,0.0275,0.0525,0.0075,0.7275
55,0.01,0.045,0.2625,0.0,0.6825
56,0.2125,0.0,0.025,0.3375,0.425
57,0.584375,0.0,0.0075,0.380625,0.0275
58,0.0,0.0125,0.005,0.0,0.9825
59,0.0,0.0,0.005,0.0,0.995
60,0.595,0.0,0.015,0.1,0.29
61,0.86,0.0,0.01,0.0375,0.0925
62,0.235,0.0,0.1025,0.39,0.2725
63,0.3775,0.0,0.02,0.245,0.3575
64,0.0,0.0025,0.02,0.0025,0.975
65,0.0,0.0025,0.025,0.0,0.9725
66,0.81,0.0,0.0,0.1475,0.0425
67,0.9975,0.0,0.0,0.0025,0.0
68,0.0625,0.0,0.165,0.28,0.4925
69,0.405,0.0,0.055,0.3925,0.1475
70,0.0025,0.0,0.01,0.0,0.9875
71,0.05,0.0225,0.095,0.1,0.7325
72,0.965,0.0,0.0,0.015,0.02
73,0.0,0.01,0.0275,0.0,0.9625
74,0.095,0.0,0.03,0.435,0.44
75,0.0,0.01,0.0625,0.0,0.9275
76,0.4025,0.0475,0.325,0.0075,0.2175
77,0.9075,0.0,0.0025,0.01,0.08
78,0.1875,0.0,0.1325,0.0075,0.6725
79,0.43,0.005,0.135,0.2975,0.1325
80,0.9125,0.0,0.0,0.0775,0.01
81,0.0025,0.0025,0.245,0.0,0.75
82,0.0,0.0025,0.0075,0.0,0.99
83,0.6525,0.0,0.0225,0.2025,0.1225
84,0.0,0.0375,0.105,0.0,0.8575
85,0.3675,0.0,0.0225,0.4825,0.1275
86,0.035,0.0625,0.175,0.0,0.7275
87,0.035,0.005,0.2275,0.505,0.2275
88,0.6125,0.0,0.0575,0.1825,0.1475
89,0.0,0.0,0.0525,0.0375,0.91
90,0.65,0.0,0.005,0.035,0.31
91,0.0025,0.0,0.21,0.0,0.7875
92,0.0,0.0,0.2875,0.0,0.7125
93,0.704583333333,0.0,0.0025,0.0025,0.290416666667
94,0.54,0.0,0.0225,0.2625,0.175
95,0.0225,0.02,0.04,0.01,0.9075
96,0.7575,0.0025,0.0,0.2125,0.0275
97,0.545,0.0,0.0,0.375,0.08
98,0.0,0.0,0.0,0.0,1.0
99,0.37,0.025,0.0125,0.0025,0.59
100,0.345,0.0,0.025,0.335,0.295
101,0.6025,0.0,0.0,0.06,0.3375
102,0.9425,0.0,0.0,0.035,0.0225
103,0.3225,0.0,0.085,0.4,0.1925
104,0.3725,0.0,0.0375,0.1925,0.3975
105,0.265,0.005,0.01,0.1675,0.5525
106,0.715,0.0,0.01,0.075,0.2
107,0.375,0.0025,0.01,0.5375,0.075
108,0.0575,0.0025,0.185,0.43,0.325
109,0.95,0.0,0.0,0.02,0.03
110,0.325,0.005,0.02,0.285,0.365
111,0.5775,0.0025,0.0125,0.32,0.0875
112,0.645,0.0,0.0125,0.1775,0.165
113,0.44,0.0025,0.0225,0.3175,0.2175
114,0.15,0.0,0.075,0.4825,0.2925
115,0.0,0.0,0.1025,0.0,0.8975
116,0.76,0.0,0.0,0.085,0.155
117,0.835,0.005,0.0,0.125,0.035
118,0.015,0.0,0.17,0.395,0.42
119,0.0975,0.0,0.095,0.635,0.1725
120,0.4025,0.0075,0.1675,0.1175,0.305
121,0.695,0.0,0.0,0.015,0.29
122,0.91,0.0,0.0,0.0275,0.0625
123,0.95,0.0,0.0,0.02,0.03
124,0.0,0.0,0.0025,0.0,0.9975
125,0.0175,0.005,0.1075,0.0375,0.8325
126,0.8975,0.0,0.0,0.04,0.0625
127,0.085,0.0025,0.4125,0.02,0.48
128,0.760833333333,0.0025,0.0,0.0125,0.224166666667
129,0.99025,0.0,0.0,0.0025,0.00725
130,0.7925,0.0,0.0025,0.1925,0.0125
131,0.3575,0.0,0.035,0.5325,0.075
132,0.9875,0.0,0.0025,0.005,0.005
133,0.771875,0.0,0.005,0.0,0.223125
134,0.38,0.0,0.02,0.445,0.155
135,0.67,0.0,0.0325,0.1375,0.16
136,0.325,0.0,0.02,0.6175,0.0375
137,0.4275,0.0,0.0275,0.2875,0.2575
138,0.0,0.0,0.04,0.0,0.96
139,0.4725,0.0,0.0075,0.27,0.25
140,0.335,0.0,0.0475,0.185,0.4325
141,0.625,0.0,0.0025,0.25125,0.12125
142,0.435,0.0,0.0175,0.005,0.5425
143,0.355,0.0,0.035,0.3375,0.2725
144,0.2475,0.0,0.1075,0.4275,0.2175
145,0.435,0.0125,0.0575,0.27,0.225
146,0.275,0.0,0.0825,0.51,0.1325
147,0.4375,0.0025,0.0725,0.215,0.2725
148,0.46,0.0,0.105,0.3025,0.1325
149,0.0,0.0,0.0225,0.0,0.9775
150,0.075,0.0225,0.005,0.0175,0.88
151,0.105,0.01,0.1975,0.0425,0.645
152,0.03,0.0075,0.2,0.005,0.7575
153,0.3,0.0025,0.01,0.125,0.5625
154,0.0325,0.0025,0.1225,0.2975,0.545
155,0.6875,0.0,0.0025,0.0375,0.2725
156,0.8575,0.0,0.0,0.0575,0.085
157,0.325,0.0,0.0225,0.525,0.1275
158,0.0,0.04,0.0275,0.0,0.9325
159,0.155,0.0,0.0325,0.16,0.6525
160,0.5225,0.0,0.0125,0.27,0.195
161,0.335,0.0,0.0175,0.1825,0.465
162,0.4175,0.005,0.0175,0.1,0.46
163,0.0,0.015,0.0075,0.005,0.9725
164,0.9925,0.0,0.0,0.005,0.0025
165,0.355,0.0,0.0425,0.3525,0.25
166,0.82,0.0025,0.0025,0.0025,0.1725
167,0.61,0.0,0.03,0.26,0.1
168,0.645,0.0,0.0125,0.3125,0.03
169,0.2775,0.0,0.0,0.63,0.0925
170,0.765,0.0,0.0,0.055,0.18
171,0.0,0.02,0.2275,0.0025,0.75
172,0.3425,0.0,0.025,0.4675,0.165
173,0.37,0.0,0.0925,0.3675,0.17
